parameters,performance
('Layers: [4, 8, 3], Learning rate: 0.000244140625, Epochs: 1', 713.9100143413621)
('Layers: [4, 32, 256, 3], Learning rate: 0.0001220703125, Epochs: 1', 675.4224092833707)
('Layers: [4, 32, 32, 3], Learning rate: 0.000244140625, Epochs: 1', 670.9382019710952)
('Layers: [4, 32, 3], Learning rate: 0.0001220703125, Epochs: 4', 668.8127772115653)
('Layers: [4, 16, 8, 3], Learning rate: 0.0001220703125, Epochs: 2', 668.1908149589885)
('Layers: [4, 1024, 128, 3], Learning rate: 0.000244140625, Epochs: 2', 655.0296901221664)
('Layers: [4, 256, 4, 3], Learning rate: 0.0001220703125, Epochs: 6', 638.6946543266898)
('Layers: [4, 8, 64, 3], Learning rate: 0.0001220703125, Epochs: 4', 633.7847131817342)
('Layers: [4, 256, 4, 3], Learning rate: 0.0001220703125, Epochs: 1', 631.5194448231067)
('Layers: [4, 1024, 512, 3], Learning rate: 0.0001220703125, Epochs: 1', 622.0448999263135)
('Layers: [4, 512, 2, 3], Learning rate: 0.000244140625, Epochs: 2', 621.6439140370103)
('Layers: [4, 4, 1024, 3], Learning rate: 0.0001220703125, Epochs: 1', 618.6640384041103)
('Layers: [4, 1024, 256, 3], Learning rate: 0.0001220703125, Epochs: 3', 617.6702206202568)
('Layers: [4, 8, 32, 3], Learning rate: 0.0001220703125, Epochs: 1', 604.1699268913333)
('Layers: [4, 2, 16, 3], Learning rate: 0.0001220703125, Epochs: 2', 603.2772970920604)
('Layers: [4, 16, 2, 3], Learning rate: 0.000244140625, Epochs: 1', 598.6675966932395)
('Layers: [4, 32, 128, 3], Learning rate: 0.0001220703125, Epochs: 5', 598.2043923553762)
('Layers: [4, 4, 3, 3], Learning rate: 0.0001220703125, Epochs: 1', 597.8448192836444)
('Layers: [4, 128, 3, 3], Learning rate: 0.0001220703125, Epochs: 2', 596.0069651457666)
('Layers: [4, 64, 256, 3], Learning rate: 0.00048828125, Epochs: 2', 594.6843181639659)
('Layers: [4, 4, 512, 3], Learning rate: 0.0009765625, Epochs: 1', 586.8863341300306)
('Layers: [4, 512, 16, 3], Learning rate: 0.0001220703125, Epochs: 3', 584.011279670528)
('Layers: [4, 32, 8, 3], Learning rate: 0.0001220703125, Epochs: 4', 579.5248733618304)
('Layers: [4, 64, 8, 3], Learning rate: 0.0001220703125, Epochs: 2', 575.0722660156403)
('Layers: [4, 1024, 256, 3], Learning rate: 0.0001220703125, Epochs: 2', 574.7487405977869)
