parameters,performance
('Layers: [8, 4, 5], Learning rate: 0.000244140625, Epochs: 1', 595.2853250666494)
('Layers: [8, 16, 5], Learning rate: 0.0001220703125, Epochs: 5', 566.6391090977362)
('Layers: [8, 64, 5], Learning rate: 0.0001220703125, Epochs: 1', 560.5008226137988)
('Layers: [8, 4, 5], Learning rate: 0.0001220703125, Epochs: 1', 543.3273798395041)
('Layers: [8, 16, 5], Learning rate: 0.0001220703125, Epochs: 3', 542.2874190294791)
('Layers: [8, 512, 5], Learning rate: 0.0001220703125, Epochs: 1', 535.5968276464788)
('Layers: [8, 4, 5], Learning rate: 0.00048828125, Epochs: 1', 510.6508268688267)
('Layers: [8, 64, 5], Learning rate: 0.000244140625, Epochs: 2', 504.68800446064165)
('Layers: [8, 512, 5], Learning rate: 0.000244140625, Epochs: 1', 503.1569452191772)
('Layers: [8, 256, 5], Learning rate: 0.0001220703125, Epochs: 1', 498.2007486913745)
('Layers: [8, 64, 5], Learning rate: 0.0001220703125, Epochs: 2', 491.19448845220626)
('Layers: [8, 256, 5], Learning rate: 0.00048828125, Epochs: 1', 484.9883657229244)
('Layers: [8, 16, 5], Learning rate: 0.0001220703125, Epochs: 2', 483.05435390839085)
('Layers: [8, 4, 5], Learning rate: 0.0001220703125, Epochs: 4', 481.0697061499063)
('Layers: [8, 256, 5], Learning rate: 0.0001220703125, Epochs: 2', 475.5742209550109)
('Layers: [8, 2, 5], Learning rate: 0.0001220703125, Epochs: 2', 474.85703015029856)
('Layers: [8, 2, 5], Learning rate: 0.0001220703125, Epochs: 3', 468.1398361144081)
('Layers: [8, 1024, 5], Learning rate: 0.0001220703125, Epochs: 4', 463.1504534173978)
('Layers: [8, 32, 5], Learning rate: 0.0001220703125, Epochs: 1', 452.0813995111218)
('Layers: [8, 4, 5], Learning rate: 0.0001220703125, Epochs: 5', 451.6100032620347)
('Layers: [8, 8, 5], Learning rate: 0.0001220703125, Epochs: 5', 446.8112457687784)
('Layers: [8, 32, 5], Learning rate: 0.0001220703125, Epochs: 5', 446.7085532764748)
('Layers: [8, 64, 5], Learning rate: 0.000244140625, Epochs: 1', 444.81998848266306)
('Layers: [8, 8, 5], Learning rate: 0.0001220703125, Epochs: 1', 440.84360268669667)
('Layers: [8, 128, 5], Learning rate: 0.0001220703125, Epochs: 9', 439.53518014294207)
('Layers: [8, 1024, 5], Learning rate: 0.0001220703125, Epochs: 1', 432.2278137410227)
('Layers: [8, 4, 5], Learning rate: 0.000244140625, Epochs: 2', 428.2099075470804)
('Layers: [8, 256, 5], Learning rate: 0.00048828125, Epochs: 2', 427.08965265954293)
('Layers: [8, 128, 5], Learning rate: 0.0001220703125, Epochs: 3', 423.8087171588139)
('Layers: [8, 2, 5], Learning rate: 0.0001220703125, Epochs: 7', 423.3734569259966)
('Layers: [8, 1024, 5], Learning rate: 0.000244140625, Epochs: 2', 421.11132596029853)
('Layers: [8, 4, 5], Learning rate: 0.000244140625, Epochs: 3', 420.8838463046063)
('Layers: [8, 1024, 5], Learning rate: 0.000244140625, Epochs: 4', 420.42887631826244)
('Layers: [8, 8, 5], Learning rate: 0.0001220703125, Epochs: 7', 416.68863459909863)
('Layers: [8, 8, 5], Learning rate: 0.000244140625, Epochs: 6', 416.4406851286759)
('Layers: [8, 128, 5], Learning rate: 0.000244140625, Epochs: 5', 410.38264445352235)
('Layers: [8, 1024, 5], Learning rate: 0.0001220703125, Epochs: 2', 409.9977702944426)
('Layers: [8, 256, 5], Learning rate: 0.0001220703125, Epochs: 6', 407.56226451006967)
('Layers: [8, 1024, 5], Learning rate: 0.0009765625, Epochs: 1', 404.7040120234012)
('Layers: [8, 128, 5], Learning rate: 0.000244140625, Epochs: 1', 403.8820986541904)
('Layers: [8, 512, 5], Learning rate: 0.00048828125, Epochs: 1', 402.886923340924)
('Layers: [8, 16, 5], Learning rate: 0.0001220703125, Epochs: 1', 401.4870459356963)
('Layers: [8, 128, 5], Learning rate: 0.0001220703125, Epochs: 2', 399.93650492386155)
('Layers: [8, 64, 5], Learning rate: 0.0001220703125, Epochs: 3', 399.93129095493447)
('Layers: [8, 32, 5], Learning rate: 0.000244140625, Epochs: 3', 397.42952037276444)
('Layers: [8, 64, 5], Learning rate: 0.0001220703125, Epochs: 4', 396.1017764352999)
('Layers: [8, 256, 5], Learning rate: 0.0001220703125, Epochs: 4', 395.7639640527756)
('Layers: [8, 16, 5], Learning rate: 0.000244140625, Epochs: 2', 395.620339450059)
('Layers: [8, 8, 5], Learning rate: 0.0001220703125, Epochs: 9', 395.075914394668)
('Layers: [8, 32, 5], Learning rate: 0.0001220703125, Epochs: 3', 393.5776209208934)
('Layers: [8, 2, 5], Learning rate: 0.0001220703125, Epochs: 6', 390.01232437135803)
('Layers: [8, 2, 5], Learning rate: 0.0001220703125, Epochs: 1', 389.90084758929595)
('Layers: [8, 4, 5], Learning rate: 0.000244140625, Epochs: 5', 389.7588712862849)
('Layers: [8, 16, 5], Learning rate: 0.000244140625, Epochs: 1', 388.0405416530702)
('Layers: [8, 2, 5], Learning rate: 0.000244140625, Epochs: 2', 386.8592498731144)
('Layers: [8, 64, 5], Learning rate: 0.0001220703125, Epochs: 9', 386.10473441464956)
('Layers: [8, 256, 5], Learning rate: 0.000244140625, Epochs: 3', 385.9877329790554)
('Layers: [8, 128, 5], Learning rate: 0.0001220703125, Epochs: 5', 385.61004798529274)
('Layers: [8, 128, 5], Learning rate: 0.0001220703125, Epochs: 1', 379.6216137650782)
('Layers: [8, 8, 5], Learning rate: 0.0001220703125, Epochs: 12', 374.44880095454477)
('Layers: [8, 32, 5], Learning rate: 0.0001220703125, Epochs: 2', 372.75440154311957)
('Layers: [8, 8, 5], Learning rate: 0.0001220703125, Epochs: 4', 368.6668896748711)
('Layers: [8, 16, 5], Learning rate: 0.0001220703125, Epochs: 4', 367.03844970605303)
('Layers: [8, 1024, 5], Learning rate: 0.00048828125, Epochs: 1', 362.91686441245486)
('Layers: [8, 256, 5], Learning rate: 0.000244140625, Epochs: 4', 361.4189947303118)
('Layers: [8, 256, 5], Learning rate: 0.0001220703125, Epochs: 11', 358.4262881819867)
('Layers: [8, 256, 5], Learning rate: 0.0001220703125, Epochs: 5', 357.8203284423049)
('Layers: [8, 4, 5], Learning rate: 0.0001220703125, Epochs: 6', 356.65681238782)
('Layers: [8, 2, 5], Learning rate: 0.00048828125, Epochs: 2', 355.4376925841033)
('Layers: [8, 1024, 5], Learning rate: 0.000244140625, Epochs: 3', 353.82626112201535)
('Layers: [8, 1024, 5], Learning rate: 0.0001220703125, Epochs: 5', 352.4083849264543)
('Layers: [8, 32, 5], Learning rate: 0.0001220703125, Epochs: 4', 351.5925429137955)
('Layers: [8, 2, 5], Learning rate: 0.0009765625, Epochs: 1', 350.3176071137472)
('Layers: [8, 512, 5], Learning rate: 0.000244140625, Epochs: 3', 348.49888238470567)
('Layers: [8, 4, 5], Learning rate: 0.0001220703125, Epochs: 9', 347.7086104198231)
('Layers: [8, 16, 5], Learning rate: 0.0001220703125, Epochs: 6', 345.8968317443881)
('Layers: [8, 1024, 5], Learning rate: 0.000244140625, Epochs: 6', 345.428571264045)
('Layers: [8, 64, 5], Learning rate: 0.0009765625, Epochs: 1', 344.75677527674276)
('Layers: [8, 32, 5], Learning rate: 0.000244140625, Epochs: 4', 344.12060161204386)
('Layers: [8, 8, 5], Learning rate: 0.0009765625, Epochs: 1', 343.6082906243922)
('Layers: [8, 32, 5], Learning rate: 0.000244140625, Epochs: 1', 343.1316243984043)
('Layers: [8, 32, 5], Learning rate: 0.0001220703125, Epochs: 14', 342.2805537516915)
